hgnc_symbol	rank
C6orf106	23.692173828147634
CCDC69	19.92195629712874
HDGF	19.504297205108426
MTIF2	18.716105891426178
MTIF3	17.74466186153645
UBE2V1P2	16.710108941639866
CBX5	16.610922706971486
ZNF252P	16.42999700279869
DESI1	16.366555483839388
VDAC1	15.626228877051341
OSBPL1A	15.597584325882249
HMOX2	15.270685312219062
	14.929867563425905
PPP1CC	14.878165660805095
TMEM161B-AS1	14.626917484188692
LRRFIP2	14.50937800638128
RHOT1P3	14.408934463895902
AK9	14.268203474121185
TTN	14.159309109763251
METTL21A	14.080724464719177
MRPS34	14.070529301886893
ITPK1	14.038475136215041
CLPX	14.02287779969698
MTND6P3	14.005877854762312
MRPL3P1	13.887832062778706
WWP1	13.883653175611183
PDZRN3	13.865784120717597
GSPT1	13.822316530075287
	13.734658313366213
UBE2V1	13.733617526006952
PTP4A2	13.682768248411449
MRPS25	13.678878363623216
TEAD2	13.67052460412678
MOCS2	13.634085127016283
NKIRAS1	13.57363919601704
C15orf59	13.562172169407628
ADCY9	13.550941720125724
DEK	13.499397315986172
EMC3	13.421715616372845
LACTB	13.418497391495817
LACTB2	13.367826986170124
FAF1	13.310691361058934
MTSS1L	13.298441892642401
TPRKB	13.206523754932036
CACNA2D3	13.193855273458137
PRKAR2A	13.18872701287414
GLYR1	13.15619340926581
NSMAF	13.036670634649186
ABCB6	12.98759550179806
ATP5F1P6	12.946811375425728
HNRNPA2B1	12.887092847662442
GRPEL1	12.879972302562964
FLOT1	12.856643633820031
	12.847917617588214
CACYBPP2	12.790840892471778
	12.70379265255688
C1orf105	12.657362106600132
NAMPT	12.543976364052993
	12.514934119438706
NQO1	12.352083047935686
LARS	12.341410720669906
NEBL	12.231679476140066
	12.108149949002891
TATDN1	12.086247240081006
NDUFA5P11	12.074140216496408
CHMP3	12.058695537135769
	12.055246268459605
PALLD	12.04625386148873
NDUFA5	12.033151039453266
MCCC1	11.904177248763107
LSM12P1	11.704255402751555
PPIP5K2	11.700231386838537
	11.694443755537002
	11.684951728079477
MRPL3	11.651176553271963
FAM133DP	11.642220543444799
UBAC1	11.60772048802994
YWHAEP5	11.576574700398751
PLCD3	11.570808838919426
RDX	11.55584921697309
H2AFZP3	11.478814716608865
CDKN2D	11.424598295588952
OLA1	11.407668095864285
	11.305484484016363
	11.264251886062878
NFYB	11.204414189262296
	11.166589917456843
CALCOCO2	11.160240537376158
ABCF2	11.159488297437822
FAM220A	11.150486317025209
C15orf52	11.148891944615778
	11.099034980875917
KCNH2	11.083937914382359
ME1	11.0774777610806
SOS1	11.054977298639178
	11.054014543605863
RWDD1	11.038391789215181
PCYT1A	11.022886580761162
	11.014032974509528
PIK3CB	10.957772906752563
IPO7P1	10.954689896788063
DNAJC28	10.937558192719049
	10.92930431796405
	10.889497108647781
RAPGEF1	10.859354566483638
CHCHD3	10.845645514778514
KIAA1143	10.837499711545522
ATP5F1P7	10.828535124200402
SMTNL2	10.812624723136402
NUCKS1	10.791378883434593
	10.780220162157146
FGF7	10.778393716931138
CSTB	10.775798698252402
SH3KBP1	10.770973006268814
NGLY1	10.75636476344225
UBR3	10.751366895648259
TAB2	10.738487564972624
NUDT4P1	10.737308850889763
HDLBP	10.671639856136673
ZNF770	10.659002375147159
CDC26	10.653995722730697
ZNF768	10.65333807325212
JAK1	10.651816170656364
KAT2B	10.635095874913917
	10.627316474510238
NDUFA6	10.614746832412088
CINP	10.594036276487666
SMYD1	10.559663130980052
MKKS	10.486325888531642
FOXN3	10.422481265942398
SSU72	10.380154539447595
IWS1	10.34662450069702
DBIP1	10.344430593152376
TEX2	10.327025764258222
SETD3	10.305440709050503
NMT1	10.296850625319395
GNG5P2	10.295013057204695
NAMPTL	10.287035797615287
	10.267861605694822
ASB2	10.23879822262521
RPS6KA2	10.23559524594477
HIGD1A	10.23456263052514
TRIM37	10.215764791885624
EMC7	10.189458189016133
SLTM	10.187952336000038
MRPL51	10.156856438201887
	10.139692417683984
NUFIP2	10.1381951064237
ZNF480	10.126462361493664
KANK2	10.119829903356601
PTP4A2P1	10.118865427180525
SUCLA2	10.071633489994706
UBE2D3	10.054814251923348
	10.043452776997379
GPATCH4	10.033791645183937
TMEM245	10.01635438006862
FAM192A	9.988989987885997
MTATP8P2	9.98873744198412
ATP5G1P4	9.987049604966892
USP32	9.978953721352735
PPP1R1A	9.975604703068758
CCDC47	9.971761748760192
ANKRD13C	9.962868122701863
NDRG2	9.952472974767849
RFC1	9.939487638676987
MTMR10	9.884198838128453
HEATR5B	9.87818948230887
PPIL1	9.875429287311588
	9.867410472955218
STAU2	9.862330333534402
	9.845496034416849
AKAP1	9.749175331923752
DCUN1D5	9.73683537773123
FKBP3	9.733562702945122
COPS3	9.705822454862618
TRIP12	9.697517190032444
TMEM11	9.665735913392105
TMEM192	9.658672199980021
	9.627808500030948
SUMO3	9.61235570377002
CHCHD4	9.57532362225333
FAM104A	9.56085818445768
SPG20	9.538575503713874
RPN1	9.496831420388586
CNOT1	9.478059937103586
VEZF1P1	9.470560227557078
PTER	9.467261671428487
SECISBP2L	9.420514060099276
CSNK2A3	9.42027602945051
CHCHD4P4	9.408467680705556
GPR125	9.408062282205666
	9.40122329247637
	9.384983980667561
TRMT61B	9.349944708546587
CPSF3L	9.33832680510069
PPM1G	9.319041948065319
	9.277172931919866
	9.259699555070783
	9.22719319981809
SLC41A1	9.221840072648197
CEP85L	9.220859524691312
DPP9	9.21485499021536
WDR33	9.20159800672648
ANAPC7	9.192540287860918
STARD10	9.18882441282724
TXNL1	9.17679325632705
PARD3	9.124889362415974
MAP2K2	9.116114542389711
ASNSD1	9.101437609871706
GCOM1	9.097181550780672
	9.09313393390551
UCHL5	9.07137560551384
KIAA1715	9.047933699849926
HOMER2	9.02948406926095
DVL1	9.015434832860224
COPS2	9.010836437976826
COPS5	9.005723847108879
YME1L1	9.000525903055612
PLA2G12A	8.994375746722682
PPP1R3A	8.992889353460365
CUL2	8.99093713943989
TSLP	8.95553983760662
VPS29	8.949856441227126
ATF7	8.948563032888206
	8.933171024101222
UPF2	8.922879434036245
	8.920154239611122
GPS2	8.906519535646622
SERBP1	8.877352682686949
BMP7	8.876841425859748
KIF3A	8.843214023909209
FUNDC2P4	8.826352445600875
CDC27	8.823032873046726
TPT1P4	8.821008902036835
THAP1	8.817950923564375
THOC5	8.815404436157246
DCAF11	8.80954828171329
KRR1	8.800759902905982
	8.797831493728047
PITPNA	8.791796415859396
TRMT1L	8.788966360330303
STAT3	8.719017346453093
BCL9L	8.71389648010356
DHRS7C	8.713851134814174
C15orf65	8.712709959045247
	8.708096342398614
	8.706193841073214
CD99	8.69690394891444
RSPO1	8.695372323300216
TMEM123	8.689776645097881
MRPL36	8.683528098906349
INO80	8.682088039692045
EIF4EBP1	8.665909349256962
PCMTD1	8.659090697711923
ZCRB1	8.657488986367945
GKAP1	8.653148759765235
PRKRA	8.644703350539222
FAM58A	8.641434027231655
AVEN	8.641007777219006
RNF220	8.639205165769226
ETNPPL	8.62989636440185
RPS24P8	8.615144286980527
ADH1B	8.571458196931006
CDK5RAP2	8.565007793607116
YWHAE	8.564351022744706
YWHAZP2	8.54740254324797
LDHAP7	8.542165535600363
EIF2S2	8.533078371834169
LMOD3	8.522346267848919
DSCR3	8.499794544198746
MIEN1	8.494526936533811
FERMT2	8.494044737223103
MCFD2	8.48571431918329
DNAJC11	8.474813033154302
NDUFV2P1	8.463367939548405
NAP1L4	8.459028553902975
SRPK1	8.455132058062544
SMC1A	8.443296380677687
PKM	8.4416390061376
AGTPBP1	8.426254305193252
MTND6P4	8.423200420873965
SERPINB6	8.417413147296857
NTAN1	8.404118845800731
STRADB	8.399039027240493
VAMP4	8.382216886320233
CA14	8.35500829720064
FAM127B	8.351495496922432
SLC25A12	8.349376875747279
TLK2P1	8.33628098270973
HMBS	8.333907261562038
TARSL2	8.297562119552548
CCDC149	8.29594438783645
SATB1	8.292297280105098
	8.288685982963566
DNAJA3	8.278102768484901
LRRC39	8.250938756149768
MAN2A2	8.24772296430511
	8.245232711806096
PUS3	8.228075835549948
RTCB	8.226521958674844
KIAA0368	8.219948868164913
RBBP7	8.218787803295545
FSD2	8.21444134455328
KIAA2026	8.210496941961084
FAM103A2P	8.209900282532493
VWA8	8.207466047919269
HSPD1	8.199361486079042
C16orf87	8.19753525258633
CUEDC1	8.181705813884887
KCND3	8.178949964797406
	8.174650402008647
EI24	8.169161968429648
PNPT1	8.166835918832465
EBNA1BP2	8.155408795708082
	8.142911365660606
CEP70	8.136142432361938
KCNIP2	8.11545428773224
PIP5K1B	8.110701492249728
SRP14	8.088350907000285
ADAM10	8.08675615560696
MAX	8.08192893415839
USP7	8.069468422657414
ERGIC2	8.06936058890368
CYCS	8.050540177938215
RILPL1	8.047417586216714
SAP30L	8.043382210418535
FASTKD5	8.043172361330523
DFFA	8.039108565920701
GAPDHP63	8.032539484019527
	8.024139937553517
LGR4	8.018009488010067
UBE2Q1	8.016980985916197
MAPK9	8.00368470266588
AK2	8.00037503192522
ZNF790	7.992609126412771
SCARB2	7.989392514442101
ANKRD28	7.977585435371428
GRB14	7.97112727392755
	7.953163230111688
	7.919779778180485
TMEM63B	7.91842393372993
CAPRIN2	7.914697125882134
MLEC	7.908242823645714
C5orf15	7.891934471905339
	7.883776304577722
S1PR3	7.876871100456579
